brand, product_name, shipping, price
ASUS GeForce RTX 2070 Super Overclocked 8G EVO GDDR6 Dual-Fan Edition  HDMI DisplayPort Gaming Graphics Card (DUAL-RTX2070S-O8G-EVO),ASUS,$75.00 Shipping,689.99
MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,MSI,Free Shipping,794.89
ASUS Dual GeForce RTX 2060 DirectX 12 DUAL-RTX2060-O6G-MINI 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,ASUS,$15.99 Shipping,357.22
GIGABYTE Radeon RX 5500 XT DirectX 12 GV-R55XTOC-8GD 8GB 128-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,GIGABYTE,Free Shipping,209.99
EVGA GeForce GT 710 DirectX 12 02G-P3-2713-KR 2GB 64-Bit DDR3 PCI Express 2.0 Video Card,EVGA,Free Shipping,50.38
ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,ASUS,$75.00 Shipping,1849.99
MSI GeForce GTX 1650 DirectX 12 GTX 1650 GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,$12.99 Shipping,182.97
ASUS TUF Gaming GeForce GTX 1650 TUF-GTX1650-O4GD6-GAMING 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,ASUS,$3.99 Shipping,159.99
SAPPHIRE PULSE Radeon RX 5700 XT 100416P8GL 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,Sapphire Tech,Free Shipping,419.99
SAPPHIRE NITRO+ Radeon RX 5700 XT 100416NT+8GSR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,Sapphire Tech,$3.99 Shipping,464.99
SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 100419P6GL 6GB 192-Bit GDDR6 PCI Express 4.0 ATX Video Card,Sapphire Tech,$3.99 Shipping,334.99
SAPPHIRE PULSE Radeon RX 580 DirectX 12 11265-05-20G 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Cards,Sapphire Tech,$3.99 Shipping,239.99
SAPPHIRE Radeon RX 550 DirectX 12 100414P4GL 4GB 128-Bit GDDR5 Video Card,Sapphire Tech,Free Shipping,88.99
SAPPHIRE NITRO+ Radeon RX 5700 XT DirectX 12 100416NT+SESR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card SPECIAL EDITION,Sapphire Tech,$3.99 Shipping,484.99
EVGA GeForce GTX 1660 XC Black GAMING 06G-P4-1161-KR 6GB GDDR5 HDB Fan,EVGA,Free Shipping,232.56
SAPPHIRE PULSE Radeon RX 5500 XT DirectX 12 100418P4GL 4GB 128-Bit GDDR6 PCI Express 4.0 ATX Video Card,Sapphire Tech,$3.99 Shipping,179.99
XFX Radeon RX 5700 XT DirectX 12 RX-57XT83LD8 8GB 256-Bit GDDR6 PCI Express 4.0 ATX Video Card,XFX,Free Shipping,409.99
