brand, product_name, shipping, price,
Mushkin Enhanced Silverline 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4 21300) Memory (Desktop Memory)                                      Model MSL4U266KF8GX2,Mushkin Enhanced,Free Shipping,$60.99 (2 Offers)–,
G.SKILL Trident Z Royal Series 16GB (2 x 8GB) 288-Pin RGB DDR4 SDRAM DDR4 4600 (PC4 36800) Desktop Memory Model F4-4600C18D-16GTRG,G.SKILL,Free Shipping,$359.99 (3 Offers)–,
G.SKILL Trident Z Royal Series 16GB (2 x 8GB) 288-Pin RGB DDR4 SDRAM DDR4 4600 (PC4 36800) Desktop Memory Model F4-4600C18D-16GTRS,G.SKILL,Free Shipping,$359.99 –,
G.SKILL Ripjaws V Series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4 21300) Desktop Memory Model F4-2666C19Q-32GVR,G.SKILL,Free Shipping,$124.99 (2 Offers)–,
G.SKILL Value Series 8GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model F3-10600CL9S-8GBNT,G.SKILL,Free Shipping,$35.99 (4 Offers)–,
CORSAIR Dominator Platinum 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model CMD32GX4M4C3200C16,Corsair,Free Shipping,$217.99 (5 Offers)–,
CORSAIR Vengeance LPX 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model CMK32GX4M2Z3200C16,Corsair,Free Shipping,$140.99 (7 Offers)–,
HyperX Predator 8GB (1 x 8GB) DDR4 3000MHz DRAM (Desktop Memory) CL15 1.35V Black DIMM (288-pin) HX430C15PB3/8 (Intel XMP),HyperX,Free Shipping,$59.99 (5 Offers)–,
Team Elite 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model TED432G3200C22DC01,Team Group,Free Shipping,$103.99 –,
Team T-FORCE VULCAN Z 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Intel XMP 2.0 Desktop Memory Model TLZGD416G3600HC18JDC01,Team Group,Free Shipping,$64.99 –,
G.SKILL Trident Z Royal Series 64GB (2 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-64GTRS,G.SKILL,Free Shipping,$279.99 (2 Offers)–,
G.SKILL Trident Z Royal Series 64GB (2 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-64GTRG,G.SKILL,Free Shipping,$279.99 –,
CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory - TUF Gaming Edition Model CMW16GX4M2C3200C16-TUF,Corsair,Free Shipping,$85.99 (4 Offers)–,
G.SKILL Trident Z Royal Series 64GB (2 x 32GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4 21300) Desktop Memory Model F4-2666C18D-64GTRS,G.SKILL,Free Shipping,$239.99 –,
